PASS
ok  	github.com/blinklabs-io/plutigo/builtin	0.016s
goos: linux
goarch: arm64
pkg: github.com/blinklabs-io/plutigo/cek
BenchmarkFlatFiles/escrow-redeem_2-3-128              	    2445	   2492201 ns/op
BenchmarkFlatFiles/escrow-redeem_2-3-128              	    2142	   2526511 ns/op
BenchmarkFlatFiles/escrow-refund-1-128                	    3583	   1567369 ns/op
BenchmarkFlatFiles/escrow-refund-1-128                	    3460	   1471884 ns/op
BenchmarkFlatFiles/escrow-refund-1-128                	    3640	   1555495 ns/op
BenchmarkFlatFiles/escrow-refund-1-128                	    3638	   1521228 ns/op
BenchmarkFlatFiles/escrow-refund-1-128                	    3500	   1550861 ns/op
BenchmarkFlatFiles/escrow-refund-1-128                	    3618	   1502629 ns/op
BenchmarkFlatFiles/future-increase-margin-1-128       	    3159	   1715002 ns/op
BenchmarkFlatFiles/future-increase-margin-1-128       	    3151	   1687599 ns/op
BenchmarkFlatFiles/future-increase-margin-1-128       	    3474	   1735404 ns/op
BenchmarkFlatFiles/future-increase-margin-1-128       	    3158	   1742598 ns/op
BenchmarkFlatFiles/future-increase-margin-1-128       	    3304	   1700021 ns/op
BenchmarkFlatFiles/future-increase-margin-1-128       	    3086	   1707340 ns/op
BenchmarkFlatFiles/future-increase-margin-2-128       	    1838	   3231475 ns/op
BenchmarkFlatFiles/future-increase-margin-2-128       	    1698	   2966901 ns/op
BenchmarkFlatFiles/future-increase-margin-2-128       	    1749	   3011662 ns/op
BenchmarkFlatFiles/future-increase-margin-2-128       	    1843	   2983958 ns/op
BenchmarkFlatFiles/future-increase-margin-2-128       	    1735	   3005960 ns/op
BenchmarkFlatFiles/future-increase-margin-2-128       	    1746	   3065701 ns/op
BenchmarkFlatFiles/future-increase-margin-3-128       	    1646	   3048274 ns/op
BenchmarkFlatFiles/future-increase-margin-3-128       	    1629	   3180715 ns/op
BenchmarkFlatFiles/future-increase-margin-3-128       	    1882	   3053374 ns/op
BenchmarkFlatFiles/future-increase-margin-3-128       	    1670	   3019220 ns/op
BenchmarkFlatFiles/future-increase-margin-3-128       	    1666	   3005301 ns/op
BenchmarkFlatFiles/future-increase-margin-3-128       	    1728	   2905178 ns/op
BenchmarkFlatFiles/future-increase-margin-4-128       	    1773	   3502965 ns/op
BenchmarkFlatFiles/future-increase-margin-4-128       	    1563	   3497594 ns/op
BenchmarkFlatFiles/future-increase-margin-4-128       	    1490	   3460799 ns/op
BenchmarkFlatFiles/future-increase-margin-4-128       	    1608	   3497958 ns/op
BenchmarkFlatFiles/future-increase-margin-4-128       	    1686	   3589392 ns/op
BenchmarkFlatFiles/future-increase-margin-4-128       	    1782	   3504518 ns/op
BenchmarkFlatFiles/future-increase-margin-5-128       	    1182	   4520186 ns/op
BenchmarkFlatFiles/future-increase-margin-5-128       	    1083	   4803740 ns/op
BenchmarkFlatFiles/future-increase-margin-5-128       	    1204	   4658019 ns/op
BenchmarkFlatFiles/future-increase-margin-5-128       	    1282	   4555983 ns/op
BenchmarkFlatFiles/future-increase-margin-5-128       	    1420	   4539974 ns/op
BenchmarkFlatFiles/future-increase-margin-5-128       	    1233	   4607597 ns/op
BenchmarkFlatFiles/future-pay-out-1-128               	    3174	   1678817 ns/op
